GEOID,median_sale_price,price_yoy_change,days_on_market,sale_count_12mo,price_per_sqft,dist_to_downtown
260650004001,98936,0.0848,63,26,112,0.0241
260650063013,-711999031,0.068,72,20,60,0.1653
260650048021,184585,0.0536,66,10,141,0.1574
260650033022,197391,0.0798,52,20,145,0.0476
260650052014,84307,0.1064,69,29,108,0.0614
260650044941,-633333332,-0.05,180,2,60,0.0915
260650044911,-633333332,-0.05,180,2,60,0.082
260650033011,145420,0.0942,54,35,128,0.0479
260650033013,119751,0.0926,64,22,119,0.0424
260650036022,101502,0.0867,82,36,113,0.0496
260650052013,135946,0.0696,51,17,125,0.0559
260650052012,68789,0.0518,55,27,102,0.0673
260650039021,287950,0.0677,67,32,175,0.0869
260650038013,252792,0.0762,71,33,164,0.0529
260650043022,-708920598,0.0634,84,34,60,0.1013
260650056002,284306,0.0624,90,17,174,0.1836
260650060013,224692,0.0574,73,22,154,0.4066
260650060022,244466,0.019,89,20,161,0.481
260650063022,183915,0.057,76,27,141,0.1901
260650067003,141996,0.0881,55,36,127,0.0174
260650066002,101382,0.0561,46,65,113,0.011
260650067002,-633333332,-0.05,180,30,60,0.0081
260650010001,111940,0.0764,49,34,117,0.0397
260650038022,127297,0.0715,69,31,122,0.0683
260650038023,220554,0.0533,64,19,153,0.069
260650038012,205465,0.0774,46,30,148,0.0587
260650048022,260811,0.0707,73,33,166,0.1705
260650054012,194073,0.0903,74,18,144,0.1002
260650055014,185539,0.0429,52,23,141,0.1198
260650052015,75245,0.078,71,16,105,0.067
260650052011,-718145247,0.0772,105,32,60,0.0694
260650052022,284571,0.0866,69,49,174,0.0828
260650035001,97447,0.0912,68,19,112,0.0335
260650044901,-633333332,-0.05,180,2,60,0.0668
260650001002,88550,0.0567,59,22,109,0.0264
260650007001,217410,0.0637,62,19,152,0.0127
260650060023,209296,0.0828,70,37,149,0.4642
260650062004,250812,0.0718,55,25,163,0.2572
260650008001,76412,0.0628,73,16,105,0.0295
260650008002,54625,-0.05,180,6,98,0.024
260650012003,132679,0.0572,69,13,124,0.02
260650034003,158509,0.0574,64,17,132,0.0457
260650061003,149945,0.0515,71,18,129,0.32
260650043013,211229,0.1094,72,27,150,0.0893
260650065003,72925,0.0329,63,21,104,0.0191
260650041001,345358,0.0571,71,7,195,0.0773
260650065002,117746,0.057,60,18,119,0.0324
260650058001,252327,0.0692,79,28,164,0.2584
260650020002,58280,0.0482,58,15,99,0.0216
260650023004,108522,0.0639,54,22,116,0.0258
260650068004,72348,0.1079,66,16,104,0.0147
260650044021,-695562236,0.0433,74,8,60,0.0582
260659800001,-633333332,-0.05,180,2,60,0.0801
260650043021,-689416298,0.0341,63,28,60,0.087
260650036023,110967,0.0954,56,24,116,0.0552
260650049024,255404,0.0754,73,33,165,0.113
260650038021,266161,0.0491,65,50,168,0.0674
260650054013,192629,0.0075,50,15,144,0.0975
260650052021,208636,0.0672,48,29,149,0.0896
260650053033,140642,0.1005,51,33,126,0.0541
260650053032,180478,0.0623,63,31,140,0.0598
260650065004,100905,0.1004,48,26,113,0.0263
260650039022,244116,0.0888,67,41,161,0.102
260650033012,123248,0.0471,71,19,121,0.0556
260650026001,89538,0.0762,56,19,109,0.0317
260650028003,141089,0.0746,56,23,127,0.0502
260650040002,236741,0.0717,71,28,158,0.0548
260650012001,73558,0.1028,50,14,104,0.0391
260650046001,417406,0.1155,40,81,200,0.1158
260650048013,150936,0.0629,72,26,130,0.1349
260650045002,318669,0.0777,54,17,186,0.1007
260650045003,99311,0.061,62,38,113,0.0953
260650055013,-702317285,0.0535,75,18,60,0.1212
260650063021,195523,0.0679,63,58,145,0.2005
260650064011,273501,0.0827,69,41,171,0.1801
260650036021,118696,0.087,69,32,119,0.0443
260650023003,110615,0.0565,55,18,116,0.0247
260650039023,257545,-0.05,180,20,165,0.0784
260650068003,63698,0.0742,61,22,101,0.018
260650020003,65514,0.0974,56,19,101,0.0189
260650043011,259765,0.0851,56,28,166,0.1041
260650064021,260293,0.0547,81,27,166,0.2454
260650064022,195763,0.0703,83,24,145,0.2891
260650065001,178032,0.1003,60,33,139,0.0263
260650007002,81756,0.0857,59,40,107,0.0108
260650004002,156712,0.0815,58,21,132,0.0191
260650006002,134602,0.0742,68,30,124,0.0098
260650007003,102991,0.0585,80,16,114,0.0143
260650008003,-701995653,0.053,49,14,60,0.0187
260650008004,125419,0.0973,68,25,121,0.0243
260650031034,-633333332,-0.05,180,20,60,0.029
260650067001,-715133872,0.0727,53,30,60,0.0032
260650012002,94750,0.0743,54,15,111,0.0297
260650054022,144175,0.084,66,25,128,0.1015
260650062001,270493,0.0412,69,23,170,0.2303
260650022001,168643,0.0845,52,19,136,0.0284
260650023001,103027,0.0545,65,13,114,0.0303
260650023002,97219,0.0766,57,24,112,0.0345
260650070006,153915,0.0652,62,16,131,0.0254
260650027001,101528,0.0424,48,14,113,0.039
260650027002,92536,0.0588,58,32,110,0.0463
260650027003,123583,0.0784,76,17,121,0.0404
260650029011,152829,0.0901,59,44,130,0.0496
260650032001,87697,0.0721,51,20,109,0.0376
260650032002,95857,0.0698,61,17,111,0.0345
260650033021,156310,0.0817,50,32,132,0.0378
260650036011,107240,0.08,79,20,115,0.0557
260650036012,104960,0.0699,65,23,114,0.0589
260650036013,123033,0.085,58,36,121,0.0622
260650037001,117229,0.0745,64,20,119,0.0377
260650037002,69445,-0.05,180,18,103,0.0472
260650037003,105515,0.0701,69,23,115,0.0494
260650037004,119869,0.0987,74,43,119,0.0428
260650037005,182765,0.1206,49,22,140,0.0367
260650038011,239126,0.0929,60,35,159,0.0612
260650039011,492250,0.1177,51,63,200,0.0841
260650040001,357373,0.0636,47,17,199,0.0654
260650040004,336483,0.0322,53,10,192,0.0659
260650040003,-701318066,0.052,68,31,60,0.0505
260650041002,228268,0.0717,87,33,156,0.0774
260650041003,-723822669,0.0857,61,14,60,0.0704
260650041004,-700088366,0.0501,70,34,60,0.0642
260650043012,234860,0.0401,84,15,158,0.0999
260650043014,223211,0.0931,58,38,154,0.0932
260650044032,223970,0.0369,76,14,154,0.0575
260650045001,156130,0.0657,77,33,132,0.0844
260650047001,261007,0.03,63,31,167,0.1561
260650047002,334542,0.0627,69,46,191,0.158
260650048011,170938,0.0539,75,35,136,0.1435
260650053042,85198,0.0467,64,24,108,0.0547
260650054021,133451,0.071,69,34,124,0.094
260650054011,168595,0.0821,54,62,136,0.0871
260650054023,128523,0.0356,79,38,122,0.0954
260650057001,267265,0.0657,63,32,169,0.2574
260650057002,302608,0.0909,71,47,180,0.2507
260650057003,297454,0.088,66,45,179,0.2118
260650058002,440712,0.0979,89,61,200,0.2831
260650058003,180847,0.0514,82,35,140,0.2627
260650058004,152669,0.0646,90,18,130,0.2868
260650059002,280066,0.0365,79,15,173,0.3334
260650059003,154828,0.0641,66,27,131,0.3906
260650059004,118040,0.0229,60,34,119,0.3722
260650061001,198690,0.0507,80,20,146,0.2782
260650061002,222209,0.0834,75,27,154,0.3191
260650061004,127975,0.0836,63,35,122,0.3081
260650064012,242492,0.0293,67,50,160,0.1844
260650062002,238695,0.0661,70,14,159,0.2637
260650063011,136438,0.0212,67,11,125,0.1778
260650049021,407299,0.0412,71,22,200,0.1337
260650050021,385570,0.0809,48,40,200,0.1648
260650034001,189902,0.0639,49,18,143,0.0395
260650068001,77337,0.0712,71,24,105,0.0278
260650031036,170819,0.0512,68,18,136,0.0429
260650031035,144970,0.0621,53,17,128,0.0361
260650031031,205148,0.0713,50,35,148,0.0458
260650031032,229215,0.0701,40,26,156,0.0417
260650068002,66768,0.1128,61,20,102,0.0202
260659801001,-633333332,-0.05,180,2,60,0.0398
260650044921,-633333332,-0.05,180,2,60,0.0633
260650044931,-633333332,-0.05,180,2,60,0.0881
260650060021,195153,0.0331,76,31,145,0.4131
260650020004,-713039814,0.0696,36,14,60,0.0137
260650044033,-633333332,-0.05,180,2,60,0.0641
260650059001,283121,0.0843,73,36,174,0.3457
